 2 0
aaron 1 84
aasvogel 1 107
ab 3 127
aba 1 264
aback 3 278
abad 1 344
abaft 1 358
abah 1 372
abandon 16 386
abant 1 1103
abantian 1 1126
abas 2 1140
abash 3 1177
abat 9 1251
abattoir 1 1390
abba 2 1404
abbei 4 1447
abbess 1 1789
abbi 1 1803
abbot 2 1875
abbott 3 1934
abbrevi 2 2492
abdera 1 2521
abdic 4 2535
abdomen 1 2622
abdomin 1 2646
abduct 4 2669
abdullah 1 2729
abeakut 1 2743
abeakuta 1 2757
abel 1 2779
abercrombi 1 2793
aberr 3 2807
abet 2 2857
abey 3 2885
abhor 8 2926
abhorr 6 3085
abid 12 3219
abideth 1 3564
abigail 1 3590
abil 13 3604
abion 1 3902
abiram 1 3926
abject 7 3946
abjectli 1 4058
abjur 2 4073
ablat 1 4103
ablaz 2 4117
ableed 1 4143
ableru 1 4157
ablest 3 4171
abli 1 4220
ablossom 1 4234
ablut 3 4248
abneg 4 4308
abnorm 5 4390
aboard 3 4571
abod 9 4620
abolish 4 5263
abolit 2 5364
abomin 7 5407
aboon 1 5724
abor 1 5738
aborigin 4 5752
abort 4 6005
abound 7 6098
aboveboard 1 6338
abovement 1 6353
abr 1 6367
abrad 2 6380
abraham 4 6407
abram 1 6646
abramovitz 1 6661
abreast 6 6676
abridg 4 6794
abrin 1 6887
abroad 15 6902
abrog 1 7581
abrupt 10 7594
abruptli 15 7810
absciss 1 8443
abscond 4 8458
absenc 18 8546
absend 1 9742
absent 15 9755
absente 4 10419
absentmind 1 10482
absinth 1 10540
absit 1 10571
absolut 15 10585
absolv 4 11660
absorb 14 11723
absorpt 5 12421
abstain 8 12504
abstemi 2 12696
abstent 2 12724
abstin 3 12750
abstract 15 12791
abstractedli 4 13089
abstrus 2 13152
abstrusios 1 13180
absurd 8 13193
absurdli 4 13732
abu 1 13801
abulafia 1 13815
abun 1 13830
abund 10 13851
abundantli 3 14264
aburi 1 14319
abus 10 14331
abusu 1 14700
abut 1 14713
abyd 1 14727
abydo 1 14740
abyss 9 14770
ac 2 14986
academ 4 15058
academi 7 15144
acama 1 15604
acapulco 1 15673
acardiac 1 15772
acatalect 1 15786
acc 1 15799
accapar 1 15821
acced 2 15834
acceler 2 15880
accent 12 15918
accentu 3 16429
accep 1 16483
accept 18 16497
access 12 18121
accessori 6 18554
accid 18 18693
acciden 2 19328
accident 11 19356
acclaim 4 19669
acclam 4 19796
acclimatis 1 19876
accommod 13 19899
accommodatingli 1 20176
accompan 1 20191
accompani 15 20205
accompanist 1 21246
accomplic 2 21260
accomplish 17 21295
accordion 1 22130
accost 5 22145
accouch 1 22255
account 18 22269
accoutr 2 24687
accra 1 24732
accredit 2 24871
accret 3 24906
accru 1 24946
accumul 11 24982
accur 10 25248
accuraci 7 25521
accurs 5 25639
accurst 1 25780
accus 15 25794
accusatori 1 26392
accusingli 1 26414
accustom 11 26428
acequia 1 26832
acet 2 26845
ach 12 26870
achaean 1 27429
achaia 2 27443
achaian 1 27479
achamoth 1 27614
achat 1 27627
achel 1 27650
achiev 13 27673
achil 3 28223
achillei 1 31675
achilleid 1 31697
achreoin 1 31710
acid 7 31725
acidul 1 31975
acki 1 31990
acklei 1 32004
acknowledg 15 32058
acm 3 32888
acocotla 1 32946
acolyt 1 32968
acom 1 33000
aconit 1 33014
acorn 3 33073
acosta 2 33123
acoust 1 33162
acquaint 17 33193
acquaintanceship 1 34290
acquiesc 10 34304
acquir 14 34522
acquisit 5 35167
acquit 4 35296
acquitt 1 35366
acr 10 35380
acrack 1 35752
acrid 2 35766
acrimoni 3 35801
acrobat 2 35851
acrost 1 35895
acshulli 1 35910
act 22 35924
actaea 1 38913
action 18 38927
actium 1 40313
activ 21 40327
actor 12 41579
actress 5 41814
actuari 1 41915
actuat 4 41929
acumen 4 42059
acumin 1 42145
acushla 1 42159
acut 10 42182
acutest 1 42543
ad 18 42556
adag 1 45755
adair 1 45779
adam 12 45922
adama 1 46665
adamantin 1 46679
adams 1 46717
adapt 9 46739
add 16 47068
addenda 1 47781
adder 2 47805
adderli 1 47833
addi 1 47847
addict 4 47974
addio 2 48038
addison 2 48074
addit 18 48165
addix 1 49029
addl 2 49204
addleaddl 1 49238
address 18 49252
addresse 1 51222
addrest 1 51246
adduc 2 51260
adela 1 51363
adelaid 4 51417
adelais 1 51520
adelin 2 51541
adelina 1 51608
adelit 1 51620
adellena 1 51634
adelphi 1 51646
adenoid 1 51660
adept 3 51674
adequ 8 51729
adequaci 1 51872
adher 8 51885
adhes 1 52044
adhuc 1 52068
adiaphan 1 52082
adieu 6 52110
adieux 4 52484
adipos 1 52561
adit 1 52584
adiutorium 1 52630
adjac 5 52652
adject 5 52762
adjoin 10 52836
adjourn 5 53136
adjud 1 53245
adjudg 2 53259
adjunct 2 53285
adjur 2 53313
adjust 13 53381
adjut 1 53777
adler 1 53790
admetu 1 53863
administ 10 53877
administr 7 54111
admir 17 54448
admiralti 1 57164
admiringli 4 57194
admiss 9 57282
admit 15 57469
admitt 6 58743
admittedli 3 58850
admixtur 3 58890
admonish 5 58954
admonit 4 59031
admonitori 1 59100
ado 4 59112
adob 1 59207
adolesc 4 59346
adolf 1 59400
adolph 1 59412
adolphu 1 59531
adonai 1 59561
adoni 1 59637
adoniram 1 59659
adopt 16 59673
ador 14 60297
adorn 14 60920
adoron 1 61528
adourn 1 61541
adown 3 61556
adramyttium 1 61620
adrastu 1 61635
adread 1 61690
adress 1 61704
adrestia 1 61717
adrestu 1 61731
adrianopoli 1 61745
adriat 2 61769
adrift 5 61797
adrink 1 61863
adroit 3 61877
adroitli 2 61935
adul 4 61968
adult 4 62039
adulter 4 62101
adulteress 1 62309
adulteri 3 62341
adumbr 1 62442
adv 1 62455
advanc 18 62470
advantag 19 64151
advent 10 65134
adventist 1 65642
adventit 1 65712
adventiti 2 65726
adventur 16 65761
adventuress 3 66768
advers 13 66817
adversari 8 67163
advertis 8 67297
advic 13 67649
advis 16 68336
advisedli 1 69118
advisori 1 69130
advoc 8 69151
advowson 1 69345
ae 2 69359
aecha 1 69481
aedeto 1 69496
aedio 1 69511
aegean 2 69526
aegi 2 69555
aegospotami 1 69639
aelfric 1 69653
aen 1 69672
aenea 2 69687
aengu 1 69761
aenon 1 69791
aeolian 1 69805
aeon 1 69828
aer 2 69842
aera 1 69877
aerat 1 69904
aerial 3 69918
aerian 1 70065
aerolith 1 70080
aeronaut 1 70094
aeschylu 2 70118
aesthet 6 70218
aesthomaen 1 70326
aetat 1 70341
aether 1 70354
aetion 1 70368
afar 11 70439
afast 1 70975
afeard 2 70989
aff 2 71017
affabl 3 71043
affair 15 71090
affeccion 1 72441
affect 19 72454
affectedli 1 74480
affection 11 74501
affianc 4 75057
affidavit 1 75113
affili 3 75135
affin 8 75177
affirm 8 75313
affix 4 75618
afflatu 1 75682
affli 1 75696
afflict 10 75711
affluenc 2 76067
affluent 3 76104
afford 17 76177
affrai 1 77198
affright 3 77212
affront 6 77375
afghanistan 1 77462
aficionado 1 77476
afield 3 77498
afir 1 77538
aflam 2 77551
afloat 4 77594
afoot 3 77648
afor 3 77740
aforement 1 77781
aforesaid 3 77795
aforetim 1 77871
afra 1 77889
afraid 18 77989
afresh 6 79836
afric 1 79932
africa 8 79946
african 10 80385
africand 1 80692
africanu 1 80706
aft 2 80719
aften 1 80777
afterbirth 1 80791
afterclang 1 80805
aftercours 1 80819
aftereffect 1 80833
afterglow 2 80847
aftergrowth 1 80872
afterlif 2 80886
aftermath 3 80914
afternoon 14 80954
afterthought 3 82974
aftertim 1 83038
afterwit 1 83052
aftrai 1 83074
ag 19 83089
agacleu 1 87767
agallop 1 87781
agamed 1 87794
agamemnon 2 87808
agap 3 88272
agapenor 1 88311
agapo 1 88325
agaros 1 88340
agastrophu 1 88353
agat 2 88375
agatha 2 88403
agathia 1 88447
agatho 1 88477
agathon 1 88490
agav 2 88505
agelau 1 88549
agelong 1 88571
agen 1 88585
agenbit 1 88599
agenbuy 1 88660
agenc 7 88682
agenda 1 89120
agendath 1 89134
agenor 1 89258
agent 15 89369
aggi 1 89941
agglutin 1 89963
aggrandis 1 89978
aggrav 6 89993
aggravatingli 1 90130
aggreg 2 90144
aggress 7 90178
